local time,activity,source activity,duration(s),distance(m),calories(kcal),steps,avg speed(m/s),max speed(m/s),avg heartrate,max heartrate,avg cadence,max cadence,avg power,max power,elevationgain(m)
2025-04-14 19:29:35,Running,Running,2138.95,6518.74,510,6150,3.05,3.63,159,174,86,118,280,324,14
2025-04-13 19:21:20,Walking,Walking,840.3,1299,97,1479,1.55,1.75,98,107,53,55,0,0,2
2025-04-13 18:16:52,Running,Running,2407.32,6503.8,504,6708,2.7,3.22,143,152,84,88,251,399,10
2025-04-12 12:03:21,Stair Climbing,Stair Climbing,3572.98,0,708,4279,0,1.46,135,153,36,45,0,0,595
2025-04-11 11:59:01,Running,Running,3254.41,8484.64,794,9097,2.61,3.15,156,167,84,94,243,444,30
2025-04-10 07:17:33,Running,Running,3201.49,8481.53,709,8965,2.65,3.37,149,163,84,153,247,413,25
2025-04-09 16:49:20,Walking,Walking,5319.21,8626.25,509,9946,1.62,1.8,96,106,55,57,0,0,8
2025-04-08 19:49:58,Running,Running,2235.72,6503.16,565,6352,2.91,3.6,161,181,85,114,270,440,20
2025-04-07 17:06:36,Walking,Walking,5979.34,10287,636,11584,1.72,1.95,103,134,58,60,0,0,32
2025-04-06 12:22:42,Running,Running,3698.71,10243.95,832,10390,2.77,3.4,151,165,84,91,260,431,38
2025-04-05 17:03:25,Walking,Walking,5618.38,9443.49,634,10202,1.68,2,102,130,54,56,0,0,35
2025-04-04 18:02:03,Running,Running,1698.61,5063.5,457,4852,2.98,3.53,169,191,86,104,281,480,20
2025-04-03 16:52:43,Walking,Walking,5273.24,8606.56,486,9922,1.63,1.81,101,113,56,59,0,0,6
2025-04-02 06:25:03,Running,Running,3017.36,8484.26,735,8693,2.81,3.29,160,173,87,101,263,428,27
2025-04-01 18:23:58,Running,Running,1929.93,5375.48,450,5443,2.79,3.3,154,168,85,91,258,423,15
2025-03-31 16:52:08,Walking,Walking,4293.72,6930.35,463,7820,1.61,1.87,97,128,54,58,0,0,25
2025-03-30 22:43:25,Running,Running,1263.81,3175.19,264,3475,2.51,2.89,141,156,83,88,235,409,14
2025-03-30 20:38:28,Walking,Walking,902.38,1451.51,119,1510,1.61,1.86,112,126,46,58,0,0,4
2025-03-30 20:23:20,Running,Running,906.94,2044.02,177,2309,2.25,2.9,139,164,76,103,207,398,12
2025-03-29 17:12:07,Walking,Walking,6425.76,10444.14,675,11712,1.63,1.89,101,135,53,58,0,0,39
2025-03-28 23:13:54,Walking,Walking,1117.45,1766.06,138,1966,1.58,1.76,103,142,50,54,0,0,5
2025-03-28 22:55:31,Running,Running,1090.18,2727.1,216,3098,2.5,2.84,134,146,86,169,235,415,11
2025-03-27 17:06:30,Walking,Walking,3811.62,6204.68,437,7145,1.63,1.82,99,126,56,57,0,0,25
2025-03-26 11:29:30,Running,Running,3478.25,8483.27,789,9791,2.44,3,156,171,85,141,229,426,28
2025-03-25 17:00:15,Walking,Walking,4132.78,6795.49,414,7584,1.64,1.87,102,115,53,58,0,0,10
2025-03-24 18:21:03,Running,Running,2429.45,5944.23,459,6586,2.45,3.09,136,146,81,88,229,401,14
2025-03-23 09:03:43,Running,Running,4451.95,11257.98,917,11708,2.53,3.61,148,171,79,126,235,485,42
2025-03-22 14:59:14,Running,Running,2778.64,6510.8,576,7472,2.34,3.05,143,152,81,87,220,395,18
2025-03-21 17:01:12,Walking,Walking,5202.93,8487.34,509,9605,1.63,1.84,98,122,54,58,0,0,45
2025-03-20 19:05:09,Running,Running,2258.12,5939.69,470,6265,2.63,3.15,144,156,83,99,246,403,22
2025-03-19 16:56:36,Walking,Walking,5592.13,8896.3,520,10622,1.59,1.89,100,124,56,58,0,0,42
2025-03-18 20:29:33,Running,Running,2127.83,5365.49,422,5878,2.52,3.08,141,152,83,106,237,423,15
2025-03-17 17:01:35,Walking,Walking,6220.42,10510.87,685,11796,1.69,1.95,105,122,57,59,0,0,44
2025-03-16 20:54:14,Indoor Walking,Indoor Walking,6254.78,9257.73,538,11084,1.48,1.72,96,105,52,56,0,0,0
2025-03-15 17:00:12,Walking,Walking,5593.58,9066.07,725,10465,1.62,1.82,102,126,56,58,0,0,47
2025-03-14 22:44:25,Stair Climbing,Stair Climbing,2584.25,0,451,3824,0,1.44,119,130,43,51,0,0,0
2025-03-13 16:56:21,Walking,Walking,4282.16,6895.32,518,8053,1.61,1.89,99,111,55,59,0,0,6
2025-03-12 20:07:41,Walking,Walking,2576,4262.92,263,4880,1.65,1.82,102,148,57,58,0,0,14
2025-03-12 20:03:16,Running,Running,263.17,678.04,51,732,2.58,3.11,133,147,84,90,230,252,0
2025-03-12 06:20:36,Indoor Sport & Fitness,Flexibility,1488.07,0,134,0,0,0,85,123,0,0,0,0,0
